"account_holder_title","Rechnungsadresse"
"alipay_crossborder","Alipay Cross-border"
"alipay_crossborder_desc","Alipay Crossborder transactions via Wirecard Payment Processing Gateway"
"amount","Amount"
"article-number","Artikel Nummer"
"back_button","Back"
"bank_label","Bank"
"basket_title","Warenkorb"
"bic","BIC:"
"bic_input","BIC"
"birthdate_input","Geburtsdatum"
"button_confirm","Bestellung bestätigen"
"cancel","Cancel"
"canceled_payment_process","Der Bezahlprozess wurde abgebrochen."
"capture_invoice_comment","Captured amount of %1 online. Transaction ID: %2."
"city","Stadt"
"config_additional_info","Zusätzliche Informationen mitsenden"
"config_additional_info_desc","Zusätzliche Informationen werden für Betrugsschutz gesendet. In diesen Daten sind  Rechnungs- / Lieferadresse, Warenkorb und Deskriptor inkludiert."
"config_allowed_currencies","Erlaubte Währungen"
"config_allowed_currencies_desc","Garantierter Kauf auf Rechnung wird nur angezeigt, wenn eine der ausgewählten Währungen genutzt wird."
"config_allow_changed_shipping","Geänderte Lieferadresse zulassen"
"config_allow_changed_shipping_desc","Wenn diese Option deaktiviert ist und sich die Lieferadresse des Kunden zwischen Transaktionen ändert, müssen sie ihre Kreditkarteninformationen erneut eingeben."
"config_base_url","Base URL"
"config_base_url_desc","Wirecard Base URL (z.B. https://api.wirecard.com)."
"config_basket_max","Maximaler Betrag"
"config_basket_max_desc","Garantierter Kauf auf Rechnung wird nur angezeigt, wenn der Bestellbetrag niedriger ist als der hier definierte Wert (in Standardwährung)."
"config_basket_min","Minimaler Betrag"
"config_basket_min_desc","Garantierter Kauf auf Rechnung wird nur angezeigt, wenn der Bestellbetrag höher ist als der hier definierte Wert (in Standardwährung)."
"config_billing_countries","Erlaubte Rechnungsempfängerländer"
"config_billing_countries_desc","Garantierter Kauf auf Rechnung wird dem Endkunden beim Checkout nur angezeigt, wenn die Lieferadresse einem der hier gewählten Länder entspricht. Auswahl mehrerer Länder mit STRG-click. Voreingestelle Auswahl: Österreich und Deutschland."
"config_billing_shipping","Rechnungsadresse und Versandadresse müssen übereinstimmen"
"config_billing_shipping_desc","Bei Aktivierung wird Garantierter Kauf auf Rechnung nur im Zahlungsprozess angezeigt, wenn Rechnungs- und Lieferadresse übereinstimmen."
"config_creditor_city","Creditor Stadt"
"config_creditor_city_desc","Für das SEPA-Lastschrift-Mandat wird die Stadt des Zahlungsempfängers (Creditor) benötigt."
"config_creditor_id","Creditor ID"
"config_creditor_id_desc","Die Creditor ID wird benötigt, um das SEPA-Lastschrift-Mandat zu erstellen. Die Creditor ID muss beim zuständigen Bankinstitut angefordert werden."
"config_creditor_name","Creditor Name"
"config_creditor_name_desc","Für das SEPA-Lastschrift-Mandat wird der Name des Zahlungsempfängers (Creditor) benötigt."
"config_delete_cancel_order","Abgebrochene Bestellung löschen"
"config_delete_cancel_order_desc","Bestellung nach Abbruch des Zahlungsprozesses automatisch löschen."
"config_delete_failure_order","Fehlgeschlagene Bestellung löschen"
"config_delete_failure_order_desc","Bestellung nach fehlgeschlagenem Zahlungsprozess automatisch löschen."
"config_descriptor","Deskriptor"
"config_descriptor_desc","Aktivieren Sie den Deskriptor, um bei jeder Transaktion eine Referenz zur jeweiligen Bestellung mitzuschicken. Diese Referenz wird im Buchungstext angezeigt, der dem Endkunden vom Finanzdienstleister übermittelt wird."
"config_details_on_invoice","Zahlungsdetails Auf Rechnung"
"config_details_on_invoice_desc","Wenn aktiviert werden die Zahlungdetails für den Kunden automatisch auf der Rechnung hinzugefügt."
"config_email","E-Mail Adresse"
"config_enable_bic","BIC aktivieren"
"config_enable_bic_desc","Wenn BIC aktiviert ist, muss dieser im Bezahlprozess eingegeben werden."
"config_http_password","HTTP Passwort"
"config_http_password_desc","Wirecard HTTP Passwort laut Vertrag mit Wirecard."
"config_http_user","HTTP Benutzer"
"config_http_user_desc","Wirecard HTTP Benutzer laut Vertrag mit Wirecard."
"config_limit_desc","Betrag in Standard Shop Währung."
"config_logo_variant","Logo-Variante"
"config_logo_variant_desc","Zeige dem Kunden die Standard-Logo-Variante oder die deskriptive Logo-Variante an."
"config_mandate_text","Zustatztext"
"config_mandate_text_desc","Dieser Text wird am Ende des ersten Paragraphen des SEPA-Lastschrift-Mandats angezeigt."
"config_merchant_account_id","Händler-Konto-ID"
"config_merchant_account_id_cc_desc","Eindeutige Händler-Konto-ID (Merchant Account ID) laut Vertrag mit Wirecard. Kann auf ""Null"" gesetzt werden, um einen 3-D-Prozess zu erzwingen."
"config_merchant_account_id_desc","Eindeutige Händler-Konto-ID laut Vertrag mit Wirecard."
"config_merchant_public","Public Key"
"config_merchant_secret","Geheimschlüssel"
"config_merchant_secret_cc_desc","Der Secret Key wird benötigt, um die Digitale Signatur für Zahlungen zu berechnen. Kann auf ""Null"" gesetzt werden, um einen 3-D-Prozess zu erzwingen."
"config_merchant_secret_desc","Der Geheimschlüssel wird benötigt, um die Digitale Signatur für Zahlungen zu berechnen."
"config_message","Ihre Nachricht"
"config_payment_action","Zahlungsaktion"
"config_payment_action_desc","Wählen Sie \""Purchase\"", um automatisch eine Buchung durchzuführen, oder \""Authorization\"", um eine manuelle Buchung zu ermöglichen."
"config_payment_type","Zahlungsart"
"config_payment_type_desc",
"config_shipping_countries","Erlaubte Lieferländer"
"config_shipping_countries_desc","Garantierter Kauf auf Rechnung wird dem Endkunden beim Checkout nur angezeigt, wenn die Rechnungsadresse einem der hier gewählten Länder entspricht. Auswahl mehrerer Länder mit STRG-click. Voreingestelle Auswahl: Österreich und Deutschland."
"config_shopping_basket","Warenkorb"
"config_shopping_basket_desc","Das Zahlungsmittel unterstützt die Anzeige des Warenkorbs während des Checkouts. Um dieses Feature zu verwenden, Shopping Basket aktivieren."
"config_sort_order","Reihenfolge"
"config_sort_order_desc","Reihenfolge der angezeigten Zahlungsmittel auf der Bezahlseite."
"config_ssl_max_limit","Non 3-D Secure Maximal Limit"
"config_status","Status"
"config_status_desc","$_['config_status_desc_alipay_crossborder']"
"config_status_desc_alipay_crossborder","Zahlungsmittel Alipay Cross-border aktivieren."
"config_status_desc_creditcard","Zahlungsmittel Kreditkarte aktivieren."
"config_status_desc_eps",
"config_status_desc_ideal","Zahlungsmittel iDEAL aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_maestro","Zahlungsmittel Maestro SecureCode aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_masterpass","Zahlungsmittel Masterpass aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_paypal","Zahlungsmittel PayPal aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_pia","Zahlungsmittel Vorauskasse aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_poi","Zahlungsmittel Kauf auf Rechnung aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_poi_pia","Zahlungsmittel Kauf auf Rechnung / Vorauskasse aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_ratepayinvoice","Zahlungsmittel Garantierter Kauf auf Rechnung aktivieren."
"config_status_desc_sepact","Zahlungsmittel SEPA Credit Transfer aktivieren"
"config_status_desc_sepadd","Zahlungsmittel SEPA-Lastschrift aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_sofortbanking","Zahlungsmittel Sofort. aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_upi","Zahlungsmittel UnionPay International aktivieren und dem Endkunden beim Checkout anbieten."
"config_status_desc_zapp","Zahlungsmittel Pay by Bank app aktivieren und dem Endkunden beim Checkout anbieten."
"config_three_d_merchant_account_id","3-D Secure Händler-Konto-ID"
"config_three_d_merchant_account_id_desc","Geben Sie Ihren 3D Händler Bezeichner an."
"config_three_d_merchant_secret","3-D Secure Geheimschlüssel"
"config_three_d_merchant_secret_desc","Der Geheimschlüssel wird benötigt um die Digitale Signatur für diese 3D Zahlung zu berechnen."
"config_three_d_min_limit","3-D Secure Minimum Limit"
"config_title","Titel"
"config_title_desc","Name des Zahlungsmittels wie auf der Bezahlseite angezeigt."
"config_vault","One-Click Checkout"
"config_vault_desc","Kreditkarten können gespeichert und später wieder verwendet werden."
"config_merchant_returnstring", "Merchant Return String"
"config_merchant_returnstring_desc", "Merchant Return String, um den Kunden von der mobilen App auf die Händlerseite umzuleiten."
"confirm_uninstall","Soll das Modul wirklich deinstalliert werden?"
"copy_xml_text","XML Kopieren"
"country","Land"
"credit","Kreditieren"
"creditcard","Credit Card"
"creditcard_desc","Credit Card transactions via Wirecard Payment Processing Gateway"
"creditor","Zahlungsempfänger"
"creditor_id_input","Creditor ID:"
"creditor_mandate_id","Mandate ID"
"credit_card_form_loading_error","Beim Laden des Kreditkartenformulares ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut."
"credit_card_form_submitting_error","Beim Senden der Kreditkartendaten ist ein Fehler aufgetreten."
"credit_card_title","Kreditkarte"
"customerId","Kunden ID"
"date-of-birth","Geburtsdatum"
"debtor","Zahlungspflichtiger"
"debtor_acc_owner","Kontoinhaber:"
"default_currency","Standard Währung"
"description","Beschreibung"
"descriptor","Descriptor"
"email","E-Mail"
"enable_heading_title_alipay_crossborder","Wirecard Alipay Cross-border aktivieren"
"enable_heading_title_creditcard","Wirecard Kreditkarte aktivieren"
"enable_heading_title_eps",
"enable_heading_title_ideal","Wirecard iDEAL aktivieren"
"enable_heading_title_masterpass","Wirecard Masterpass aktivieren"
"enable_heading_title_paypal","Wirecard PayPal aktivieren"
"enable_heading_title_poi_pia","Wirecard Kauf auf Rechnung / Vorauskasse aktivieren"
"enable_heading_title_ptwentyfour","Wirecard Przelewy24 aktivieren"
"enable_heading_title_ratepayinvoice","Wirecard Garantierter Kauf auf Rechnung aktivieren"
"enable_heading_title_sepact","Wirecard SEPA Credit Transfer aktivieren"
"enable_heading_title_sepadd","Wirecard SEPA-Lastschrift aktivieren"
"enable_heading_title_sofortbanking","Wirecard Sofort. aktivieren"
"enable_heading_title_upi","Wirecard UnionPay International aktivieren"
"enable_vault","One-click-checkout aktivieren"
"enter_email_message_error","Please enter your message"
"enter_valid_email_error","E-Mail-Versand fehlgeschlagen. Bitte versuchen Sie es erneut."
"eps",
"eps_desc",
"error_credentials","Der Konfigurationstest ist fehlgeschlagen. Bitte überprüfen Sie Ihre Zugangsdaten."
"error_email","E-Mail-Versand fehlgeschlagen. Bitte versuchen Sie es erneut."
"error_mandatory_fields",
"error_no_post_processing_operations","Für diese Transaktion sind keine Folgeoperationen möglich."
"error_no_post_processing_operations_unconfirmed","Für diese Transaktion sind keine Folgeoperationen möglich. Die Transaktion wurde noch nicht bestätigt."
"error_no_transaction","Es wurde keine Transaktion gefunden."
"first-name","Vorname"
"first_name_input","First name"
"gender","Geschlecht"
"heading_title","Wirecard"
"heading_title_ajax","Wirecard Ajax"
"heading_title_alipay_crossborder","Wirecard Alipay Cross-border"
"heading_title_creditcard","Wirecard Kreditkarte"
"heading_title_eps",
"heading_title_giropay","Wirecard giropay"
"heading_title_ideal","Wirecard iDEAL"
"heading_title_maestro","Wirecard Maestro SecureCode"
"heading_title_masterpass","Wirecard Masterpass"
"heading_title_paypal","Wirecard PayPal"
"heading_title_pia","Wirecard Vorauskasse"
"heading_title_poi","Wirecard Kauf auf Rechnung"
"heading_title_poi_pia","Wirecard Kauf auf Rechnung / Vorauskasse"
"heading_title_ptwentyfour","Wirecard Przelewy24"
"heading_title_ratepayinvoice","Wirecard Garantierter Kauf auf Rechnung"
"heading_title_sepact","Wirecard SEPA Credit Transfer"
"heading_title_sepadd","Wirecard SEPA-Lastschrift"
"heading_title_sofortbanking","Wirecard Sofort."
"heading_title_support","Wirecard Support"
"heading_title_transaction_details","Wirecard Transaktionen"
"heading_title_upi","Wirecard UnionPay International"
"heading_title_zapp","Wirecard Pay by Bank app"
"heading_transaction_details","Transaktionsdetails"
"house-extension","Hauserweiterung"
"iban","IBAN:"
"iban_input","IBAN"
"ideal","iDEAL"
"ideal_desc","iDEAL Transaktionen via Wirecard Payment Processing Gateway."
"ideal_legend","Wählen Sie Ihre Bank aus:"
"ip","IP Address"
"last-name","Nachname"
"last_name_input","Last name"
"loading_text","Eingabemaske für Kreditkarte wird geladen."
"maid","MAID"
"maskedPan","Masked Pan"
"masterpass","Masterpass"
"masterpass_desc","Masterpass Transaktionen via Wirecard Payment Processing Gateway."
"merchant-crm-id","Händler crm id"
"merchant_notice","Bitte stellen Sie sicher, dass die Zahlungsdaten die Sie an Ihren Kunden schicken mit den unten angegebenen übereinstimmen"
"module_description","Wirecard Payment Processing Gateway Plugin for Prestashop."
"module_display_name","Wirecard Payment Processing Gateway"
"name","Name"
"no_post_processing_operations","Keine Folgeoperationen für diese Transaktion möglich"
"no_such_order_error","Keine Bestellung gefunden."
"orderNumber","Bestellnummer"
"order_cancelled","Bestellung wurde abgebrochen."
"order_error","Während des Zahlungsprozesses ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut."
"order_status_authorized","Authorized"
"order_status_authorized_count_plural","Authorized <span class=\""count\"">(%s)</span>"
"order_status_authorized_count_single.other","Authorized<span class=""count"">(%s)</span>"
"order_status_authorized_count_single.zero",
"order_status_gateway_update","Bestellstatus via Wirecard Payment Processing Gateway wurde aktualisiert."
"pagination_back","< Zurück"
"pagination_next","Weiter >"
"panel_action","Aktion"
"panel_amount","Betrag"
"panel_currency","Währung"
"panel_details","Details"
"panel_order_number","Order Number"
"panel_parent_transaction_id","Parent Transaction ID"
"panel_payment_method","Zahlungsmittel"
"panel_transaction","Transaktion"
"panel_transaction_copy","XML kopieren"
"panel_transaction_date","Datum"
"panel_transaction_details","Transaktion ansehen"
"panel_transaction_provider_id","Transaction provider ID"
"panel_transaction_state","Transaktionsstatus"
"panel_transcation_id","Transaction ID"
"pay","Buchen"
"paymentMethod","Bezahlmethode"
"payment_awaiting","Ausständige Zahlung von Wirecard"
"payment_details_title","Details"
"payment_from_applicable_countries","Payment from Applicable Countries"
"payment_from_specific_countries","Payment from Specific Countries"
"payment_method_settings","Einstellungen"
"payment_suffix","payment"
"paypal","PayPal"
"paypal_desc","PayPal Transaktionen via Wirecard Payment Processing Gateway."
"pay_with_gateway","Pay with Wirecard Payment Processing Gateway."
"phone","Telefon"
"place_order","Bestellen"
"plugin_author","Wirecard AG"
"plugin_author_url","https://www.wirecard.com/"
"poi_pia","Kauf auf Rechnung / Vorauskasse"
"poi_pia_desc","Kauf auf Rechnung / Vorauskasse Transaktionen via Wirecard Payment Processing Gateway."
"postal-code","Postleitzahl"
"ptrid","Provider Transaction Reference ID"
"ptwentyfour","Przelewy24"
"public_certificate_desc","Wird ein öffentliches Zertifikat zur Verfügung gestellt, wird es zur SSL-Zertifikat-Überprüfung bei Antworten von Wirecard-Servern verwendet."
"quantity","Menge"
"ratepayinvoice","Garantierter Kauf auf Rechnung"
"ratepayinvoice_desc","Garantierter Kauf auf Rechnung Transaktionen via Wirecard Payment Processing Gateway."
"ratepayinvoice_fields_error","Für die Nutzung dieses Zahlungmittels müssen Sie mindestens 18 Jahre alt sein."
"redirect_text","Sie werden weitergeleitet. Bitte warten."
"refund","Refundieren"
"refund_gateway_error","Refund via Wirecard Payment Processing Gateway fehlgeschlagen."
"refund_online_error","Zur Zeit ist kein Online-Refund möglich."
"refund_partial_shipping_error",
"refund_processing_error","Folgeoperation Refund fehlgeschlagen."
"requestedAmount","Betrag"
"requestId","Request ID"
"selected_creditcard_info","Kreditkarte ausgewählt. Um eine andere Kreditkarte zu verwenden, klicken Sie auf die Schaltfläche unten."
"send_email","Senden"
"sepact","SEPA Credit Transfer"
"sepact_desc","SEPA Credit Transfer Transaktionen via Wirecard Payment Processing Gateway"
"sepadd","SEPA-Lastschrift"
"sepadd_desc","SEPA-Lastschrift Transaktionen via Wirecard Payment Processing Gateway"
"sepadd_mandate","SEPA Lastschrift Mandat"
"sepa_cancel","Abbrechen"
"sepa_fields_error","Bitte füllen Sie die SEPA-Lastschrift-Felder aus und versuchen Sie es erneut."
"sepa_legend","Geben sie ihre daten ein:"
"sepa_mandate","SEPA Mandate"
"sepa_text_1","Ich ermächtige die Firma"
"sepa_text_2","einmalig eine Zahlung von meinem Konto mittels SEPA Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von der Firma"
"sepa_text_2b","auf mein Konto gezogene SEPA Lastschrift einzulösen."
"sepa_text_3","Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrags verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen."
"sepa_text_4","Für den Fall der Nichteinlösung der Lastschrift oder des Widerspruchs gegen die Lastschrift weise ich meine Bank unwiderruflich an, der Firma"
"sepa_text_5","oder Dritten auf Anforderung meinen Namen, Adresse und Geburtsdatum vollständig mitzuteilen."
"sepa_text_6","Ich bestätige, den oben stehenden Text verstanden und akzeptiert zu haben."
"settings_updated","Einstellungen gespeichert"
"shipping-method","Versandart"
"shipping_title","Versandaddresse"
"social-security-number","Sozialversicherungsnummer"
"sofortbanking","Sofort."
"sofortbanking_desc","Sofort. Transaktionen via Wirecard Payment Processing Gateway."
"street1","Strasse"
"street2","Strasse 2"
"submit_button","Submit"
"success_credentials","Die Konfigurationseinstellungen wurden erfolgreich getestet."
"success_email","E-Mail wurde erfolgreich versendet."
"success_new_transaction","Die Folgeoperation war erfolgreich. Eine neue Transaktion wurde erstellt."
"support_email_title","E-Mail an Support"
"terms_of_use","Nutzungsbedingungen"
"test_config","Konfiguration testen"
"test_credentials","Test"
"text_advanced","Erweiterte Einstellungen"
"text_article_amount","# Preis"
"text_article_name","Produktname"
"text_article_number","Artikelnummber"
"text_backend_operations","Mögliche Folgeoperationen"
"text_cancel_transaction","Transaktion stornieren"
"text_capture_transaction","Transaktion buchen"
"text_close","Schließen"
"text_company_pg_alipay_crossborder","<img src=""./view/image/wirecard_pg/alipay_crossborder.png"" />"
"text_company_pg_creditcard","<img src=""./view/image/wirecard_pg/creditcard.png"" />"
"text_company_pg_ideal","<img src=""./view/image/wirecard_pg/ideal.png"" />"
"text_company_pg_maestro","<img src=""./view/image/wirecard_pg/maestro.png"" />"
"text_company_pg_masterpass","<img src=""./view/image/wirecard_pg/masterpass.png"" />"
"text_company_pg_paypal","<img src=""./view/image/wirecard_pg/paypal.png"" />"
"text_company_pg_pia","<img src=""./view/image/wirecard_pg/poipia.png"" />"
"text_company_pg_poi","<img src=""./view/image/wirecard_pg/poipia.png"" />"
"text_company_pg_ratepayinvoice","<img src=""./view/image/wirecard_pg/ratepayinvoice.png""/>"
"text_company_pg_sepact","<img src=""./view/image/wirecard_pg/sepa.png"" />"
"text_company_pg_sepadd","<img src=""./view/image/wirecard_pg/sepa.png"" />"
"text_company_pg_sofortbanking","<img src=""./view/image/wirecard_pg/sofortbanking.png"" />"
"text_company_pg_upi","<img src=""./view/image/wirecard_pg/upi.png"" />"
"text_confirm","Process"
"text_credentials","Zugangsdaten"
"text_credentials_desc","Geben Sie Ihre Wirecard-Zugangsdaten ein."
"text_creditcard_selection","Kreditkartenauswahl"
"text_delete","Löschen"
"text_disabled","Deaktiviert"
"text_edit","$_['text_edit_alipay_crossborder']"
"text_edit_alipay_crossborder","Zahlungsmittel Alipay Cross-border bearbeiten"
"text_edit_creditcard","Zahlungsmittel Kreditkarte bearbeiten"
"text_edit_ideal","Zahlungsmittel iDEAL bearbeiten"
"text_edit_maestro","Zahlungsmittel Maestro SecureCode"
"text_edit_masterpass","Zahlungsmittel Masterpass bearbeiten"
"text_edit_paypal","Zahlungsmittel  PayPal bearbeiten"
"text_edit_pia","Zahlungsmittel Vorauskasse bearbeiten"
"text_edit_poi","Zahlungsmittel Kauf auf Rechnung bearbeiten"
"text_edit_ratepayinvoice","Zahlungsmittel Garantierter Kauf auf Rechnung by Wirecard bearbeiten"
"text_edit_sepact","Zahlungsmittel SEPA-Überweisung bearbeiten"
"text_edit_sepadd","Edit SEPA Direct Debit"
"text_edit_sofortbanking","Zahlungsmittel Sofort. bearbeiten"
"text_edit_upi","Zahlungsmittel UnionPay International"
"text_enable","Enable"
"text_enabled","Aktiviert"
"text_enable_disable","Aktivieren/Deaktivieren"
"text_extension","Erweiterungen"
"text_go_to_plugins","Zurück zur Pluginübersicht."
"text_list","Transaktionen"
"text_logo_variant_descriptive","Deskriptiv"
"text_logo_variant_standard","Standard"
"text_message","Nachricht"
"text_payment","Kauf"
"text_payment_action_pay","Purchase"
"text_payment_action_reserve","Authorization"
"text_payment_type_pia","Payment in Advance"
"text_payment_type_poi","Payment on Invoice"
"text_quantity","Stück"
"text_refund_transaction","Transaktion refundieren"
"text_request_amount","Betrag"
"text_response_data","Responsedaten"
"text_save","Speichern"
"text_sepadd_config_desc","Geben Sie Ihre SEPA-Lastschrift-Zugangsdaten und Mandatseinstellungen ein."
"text_sepa_config","SEPA-Lastschrift-Zugangsdaten"
"text_settings","Einstellungen"
"text_success","Ihre Änderungen werden gespeichert."
"text_support","Support"
"text_tax_rate","Steuersatz"
"text_terms_accept","Hiermit bestätige ich, dass ich die <a target=""_blank"" href=""https://www.wirecardbank.de/privacy-documents/datenschutzhinweis-fur-die-wirecard-zahlarten/"">Datenschutzhinweise</a> und zusätzliche <a target=""_blank"" href=""https://www.wirecardbank.de/privacy-documents/zusatzliche-geschaftsbedingungen-fur-wirecard-zahlarten/"">Geschäftsbedingungen</a> für Wirecard-Zahlarten zur Kenntnis genommen habe und mit deren Geltung einverstanden bin."
"text_terms_notice","Sie müssen den Datenschutzhinweisen und zusätzlichen Geschäftsbedingungen für Wirecard-Zahlarten zustimmen."
"text_test_result","Testergebnis"
"text_total","Summe"
"text_transaction","Transaction"
"text_transaction_details_1","Für weitere Informationen zu dieser Transaktion klicke"
"text_transaction_details_2","hier"
"text_vault","One-Click Checkout"
"three_d_merchant_account_id","3-D Secure Händler-Konto-ID"
"timeStamp","Date"
"title_payment_gateway","Wirecard"
"token","Token"
"transactionID","Transaction ID"
"transactionState","Transaction state"
"transactionType","Transaction type"
"transaction_details_title","Transaktionsdetails"
"transaction_payment_not_found_error","No valid payment for this transaction found."
"transfer_notice","Bitte den Betrag mithilfe folgender Daten überweisen:"
"upi","UnionPay International"
"upi_desc","UnionPay International Transaktionen via Wirecard Payment Processing Gateway"
"vault_account_number","Account Nummer"
"vault_changed_shipping_text","Ihre Lieferadresse hat sich seit Ihrer letzten Bestellung geändert. Aus Sicherheitsgründen müssen Sie ihre Kreditkarteninformation erneut eingeben."
"vault_delete_card_text","Karte löschen"
"vault_delete_failure_text","Folgende Kreditkarte konnte nicht gelöscht werden:"
"vault_delete_success_text","Folgende Kreditkarte wurde erfolgreich gelöscht:"
"vault_save_text","Speichern für One-click-checkout"
"vault_use_existing_text","Gespeicherte Kreditkarte verwenden"
"vault_use_new_text","Neue Kreditkarte"
"vault_valid_until_text","gültig bis"
"wrong_url_format","Test fehlgeschlagen. Ungültiges Adressformat (z. B. https://api.wirecard.com)."
"order_status_authorized_count_single.one","Authorized <span class=""count"">(%s)</span>"


"support_email_sender_address","E-Mail Adresse"
"support_email_reply_to","Antwort an"
"text_required_fields","* benötigte Felder"
"sepa_mandate_full_text","Ich erm&auml;chtige die Firma %1$s einmalig eine Zahlung von meinem Konto mittels SEPA Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von der Firma %1$s<br /><br />Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrags verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br /><br />F&uuml;r den Fall der Nichteinl&ouml;sung der Lastschrift oder des Widerspruchs gegen die Lastschrift weise ich meine Bank unwiderruflich an, der Firma %1$s oder Dritten auf Anforderung meinen Namen, Adresse und Geburtsdatum vollst&auml;ndig mitzuteilen."
"config_merchant_secret_three_d_desc","Der Geheimschl&uuml;ssel wird ben&ouml;tigt um die Digitale Signatur f&uuml;r diese 3D Zahlung zu berechnen."
"config_merchant_account_id_three_d_desc","Geben Sie Ihren 3D H&auml;ndler Bezeichner an. Leer lassen, um 3-D Secure zu deaktivieren.
"config_ssl_max_limit_desc","Ab diesem Betrag wird die Benutzung von 3-D Secure erzwungen. Leer lassen, um kein Non 3-D Secure Maximal Limit zu setzen."
"config_ssl_max_limit_currency","Non 3-D Secure Maximal Limit W&auml;hrung"
"config_ssl_max_limit_currency_desc","Die W&auml;hrung, f&uuml;r die 3-D Secure Max. Limit gilt"
"config_three_d_explanation_url","<a href=""https://raw.githubusercontent.com/wiki/wirecard/magento-ee/img/Credit_Card_3D_Secure_new.png"" target=""_blank"">Hier klicken,</a> um eine Erkl&auml;rung zu Non 3-D Secure und 3-D Secure Limits zu &ouml;ffnen"
"config_three_d_min_limit_desc","Ab diesem Betrag wird die Verwendung von 3-D Secure versucht. Leer lassen, um kein 3-D Secure Minimum Limit zu setzen."
"config_three_d_min_limit_currency","3-D Secure Minimum Limit W&auml;hrung"
"config_three_d_min_limit_currency_desc","Die W&auml;hrung, f&uuml;r die 3-D Secure Min. Limit gilt"
"config_creditor_street","Creditor Stra&szlig;e"
"config_creditor_street_desc","SEPA Direct Debit ben&ouml;tigt eine Creditor Stra&szlig;e f&uumlr das SEPA Direct Debit Mandat."
"config_creditor_zip","Creditor PLZ"
"config_creditor_zip_desc","SEPA Direct Debit ben&ouml;tigt eine Creditor PLZ f&uuml;r das SEPA Direct Debit Mandat."
"config_creditor_country","Creditor Land"
"config_creditor_country_desc","SEPA Direct Debit ben&ouml;tigt ein Creditor Land f&uuml;r das SEPA Direct Debit Mandat."
"terms_of_use_title","Allgemeine Informationen zum Wirecard Shop Plugin"
"error_render_template","Template konnte nicht gerendert werden"
"text_plugin_version","Extension Version"
"config_email_notification","E-Mail für Zahlungsbenachrichtigungen"
"config_email_notification_desc","Tragen Sie Ihre E-Mail-Adresse ein, um eine Zahlungsbenachrichtigung für jede eingehende Zahlungsbestätigung per E-Mail zu erhalten."
"config_pendig_status_mails","Sende Mails bei ausstehendem Zahlungsstatus"
"config_pendig_status_mails_desc","Wenn diese Option aktiviert ist, erhalten Kunden eine E-Mail mit der Information, dass die Zahlung noch nicht abgeschlossen ist."
"config_delete_cancel_order_warning","<strong>Warnung</strong>: Bedenken Sie, dass gel&ouml;schte Bestellungen zu Unterbrechungen der fortlaufenden Bestellnummer f&uuml;hren!"
"sepa_first_name_required","Vorname wird benötigt."
"sepa_last_name_required","Nachname wird benötigt."
"sepa_iban_required","IBAN wird benötigt."
"sepa_mandate_not_confirmed","Sie müssen das Mandat akzeptieren."
"payment_pending_message","Warten auf Zahlungsbest&auml;tigung von Wirecard. Sie erhalten eine E-Mail, sobald die Zahlung abgeschlossen ist."
"payment_notification_email_subject","Bezahlbestätigung erhalten"
"order_status_updated","Statusänderung durch Notification"
"basket_verification_failed","Warenkorb-Validierung fehlgeschlagen"
"invoice_created","Rechnung automatisch durch Wirecard Payment Gateway erzeugt."


"bic_required","BIC wird benötigt"
